index,name,price,description,product_url,image_url,local_image_path,category
21,In Her Wake,£12.84,N/A,https://books.toscrape.com/catalogue/in-her-wake_980/index.html,https://books.toscrape.com/media/cache/5d/72/5d72709c6a7a9584a4d1cf07648bfce1.jpg,,
22,How Music Works,£37.32,N/A,https://books.toscrape.com/catalogue/how-music-works_979/index.html,https://books.toscrape.com/media/cache/5c/c8/5cc8e107246cb478960d4f0aba1e1c8e.jpg,,
23,Foolproof Preserving: A Guide ...,£30.52,N/A,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html,https://books.toscrape.com/media/cache/9f/59/9f59f01fa916a7bb8f0b28a4012179a4.jpg,,
24,Chase Me (Paris Nights ...,£25.27,N/A,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,https://books.toscrape.com/media/cache/9c/2e/9c2e0eb8866b8e3f3b768994fd3d1c1a.jpg,,
25,Black Dust,£34.53,N/A,https://books.toscrape.com/catalogue/black-dust_976/index.html,https://books.toscrape.com/media/cache/44/cc/44ccc99c8f82c33d4f9d2afa4ef25787.jpg,,
26,Birdsong: A Story in ...,£54.64,N/A,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,https://books.toscrape.com/media/cache/af/6e/af6e796160fe63e0cf19d44395c7ddf2.jpg,,
27,America's Cradle of Quarterbacks: ...,£22.50,N/A,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html,https://books.toscrape.com/media/cache/ef/0b/ef0bed08de4e083dba5e20fdb98d9c36.jpg,,
28,Aladdin and His Wonderful ...,£53.13,N/A,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html,https://books.toscrape.com/media/cache/d6/da/d6da0371958068bbaf39ea9c174275cd.jpg,,
29,Worlds Elsewhere: Journeys Around ...,£40.30,N/A,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg,,
30,Wall and Piece,£44.18,N/A,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,https://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg,,
31,The Four Agreements: A ...,£17.66,N/A,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg,,
32,The Five Love Languages: ...,£31.05,N/A,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg,,
33,The Elephant Tree,£23.82,N/A,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg,,
34,The Bear and the ...,£36.89,N/A,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg,,
35,Sophie's World,£15.94,N/A,https://books.toscrape.com/catalogue/sophies-world_966/index.html,https://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg,,
36,Penny Maybe,£33.29,N/A,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,https://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg,,
37,Maude (1883-1993):She Grew Up ...,£18.02,N/A,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,https://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg,,
38,"In a Dark, Dark ...",£19.63,N/A,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg,,
39,Behind Closed Doors,£52.22,N/A,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,https://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg,,
40,You can't bury them ...,£33.63,N/A,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,https://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg,,
